Validator	Script	TxId	Measured CPU	Measured Memory	Reference CPU	Reference Memory	Message
Role Payout	e165610232235bbbbeff5b998b233daae42979dec92a6722d9cda989	f1a1e6a487f91feca5606f72bbb1e948c71abf043c6a0ea83bfea9ec6a0f08d8	330223844	1182626	330223844	1182626	
Role Payout	e165610232235bbbbeff5b998b233daae42979dec92a6722d9cda989	0e00171d0f1e1f14070d0a00091f07101808021d081e1b120219081312081e15	335598385	1212308	335598385	1212308	
Role Payout	e165610232235bbbbeff5b998b233daae42979dec92a6722d9cda989	4121d88f14387d33ac5e1329618068e3848445cdd66b29e5ba382be2e02a174a	409155349	1511236	409155349	1511236	
Role Payout	e165610232235bbbbeff5b998b233daae42979dec92a6722d9cda989	df487b2fd5c1583fa33644423849bc1ab5f02f37edc0c235f34ef01cb12604f6	344533186	1238878	344533186	1238878	
Role Payout	e165610232235bbbbeff5b998b233daae42979dec92a6722d9cda989	d6bc8ac4155e22300085784148bbc9d9bbfea896e1009dd396610a90e3943032	394593771	1453560	394593771	1453560	
Role Payout	e165610232235bbbbeff5b998b233daae42979dec92a6722d9cda989	0303020000020001010201060303040208070100050401080304020801030001	329269223	1180160	329269223	1180160	
Role Payout	e165610232235bbbbeff5b998b233daae42979dec92a6722d9cda989	a1b25347409c3993feca1a60b6fcaf93d1d4bbaae19ab06fdf50cedc26cee68d	317203018	1137394	317203018	1137394	
Role Payout	e165610232235bbbbeff5b998b233daae42979dec92a6722d9cda989	4299c7fcf093a5dbfe114c188e32ca199b571a7c25cb7f766bf49f12dab308be	368261307	1335912	368261307	1335912	
Role Payout	e165610232235bbbbeff5b998b233daae42979dec92a6722d9cda989	a0fba5740174b5cd24036c8b008cb1efde73f1edae097b9325c6117a0ff40d3b	379659237	1379388	379659237	1379388	
Role Payout	e165610232235bbbbeff5b998b233daae42979dec92a6722d9cda989	fc8c5f45ffcdb024c21e0f34b22c23de8045a94d5e1a5bda1555c45ddb059f82	347811707	1251844	347811707	1251844	
Role Payout	e165610232235bbbbeff5b998b233daae42979dec92a6722d9cda989	c4d4c88c5fe378a25a034025994a0d0b1642f10c8e6e513f872327fa895bfc7e	364929731	1337972	364929731	1337972	
Role Payout	e165610232235bbbbeff5b998b233daae42979dec92a6722d9cda989	5a0725d49c733130eda8bc6ed5234f7f6ff8c9dd2d201e8806125e5fbcc081f9	358371885	1306876	358371885	1306876	
Role Payout	e165610232235bbbbeff5b998b233daae42979dec92a6722d9cda989	21a1426fb3fb3019d5dc93f210152e90b0a6e740ef509b1cdd423395f010e0ca	369960728	1346906	369960728	1346906	
Role Payout	e165610232235bbbbeff5b998b233daae42979dec92a6722d9cda989	49b8275d0cb817be40865694ab05e3cfe5fc35fb43b78e7de68c1f3519b536bd	349161054	1265218	349161054	1265218	
Role Payout	e165610232235bbbbeff5b998b233daae42979dec92a6722d9cda989	962c2c658b19904372984a56409707401e64e9b03c1986647134cfd329ec5139	369874442	1352490	369874442	1352490	
Role Payout	e165610232235bbbbeff5b998b233daae42979dec92a6722d9cda989	b869f3928200061abb1c3060425b9354b0e08cbf4400b340b8707c14b34317cd	519996929	1952180	519996929	1952180	
Role Payout	e165610232235bbbbeff5b998b233daae42979dec92a6722d9cda989	bd460b7549b70c52e37b312a4242041eac18fe4a266f018bcea0c78a9085a271	394593771	1453560	394593771	1453560	
Role Payout	e165610232235bbbbeff5b998b233daae42979dec92a6722d9cda989	ec4712ee820eb959a43ebedfab6735f2325fa52994747526ffd2a4f4f84dd58e	382987433	1390280	382987433	1390280	
Role Payout	e165610232235bbbbeff5b998b233daae42979dec92a6722d9cda989	03d730a62332c51c7b70c16c64da72dd1c3ea36c26b41cd1a1e00d39fda3d6cc	386505414	1410962	386505414	1410962	
Role Payout	e165610232235bbbbeff5b998b233daae42979dec92a6722d9cda989	f2932e4ca4bbb94b0a9ffbe95fcb7bd5639d9751d75d56d5e14efa5bbed981df	327094710	1174710	327094710	1174710	
Role Payout	e165610232235bbbbeff5b998b233daae42979dec92a6722d9cda989	0f010d040810040b10020e040f0e030b0a0d100f0c080c0c05000d04100c100f	392407016	1436226	392407016	1436226	
Role Payout	e165610232235bbbbeff5b998b233daae42979dec92a6722d9cda989	0e72f62b0f922e31a2340baccc768104025400cf7fdd7dae62fbba5fc770936d	373633392	1357314	373633392	1357314	
Role Payout	e165610232235bbbbeff5b998b233daae42979dec92a6722d9cda989	caa409c40e39aed9b0f59214b4baa178c375526dea6026b4552b88d2cc729716	310846619	1099224	310846619	1099224	
Role Payout	e165610232235bbbbeff5b998b233daae42979dec92a6722d9cda989	c11490431db3a92efdda70933ba411a0423935e73a75c856e326dbcf6672f3bf	331084800	1186762	331084800	1186762	
Role Payout	e165610232235bbbbeff5b998b233daae42979dec92a6722d9cda989	5ade103e9530dd0d572fe1b053ea65ad925c6ebbe321e873ace8b804363fa82c	490154761	1841028	490154761	1841028	
Role Payout	e165610232235bbbbeff5b998b233daae42979dec92a6722d9cda989	bcdbc576d63b0454100ad06893812edafc2e7e4934fec1b44e2d06eb34f36eb8	332039421	1189228	332039421	1189228	
Role Payout	e165610232235bbbbeff5b998b233daae42979dec92a6722d9cda989	0d0f01050a0a0a0b0b050d0404090e0d0506000d0a041003040e0f100e0a0408	355038039	1300656	355038039	1300656	
Role Payout	e165610232235bbbbeff5b998b233daae42979dec92a6722d9cda989	b6243a5b4c353ce4852aa41705111d57867d2783eeef76f6d59beb2360da6e90	463021083	1709824	463021083	1709824	
Role Payout	e165610232235bbbbeff5b998b233daae42979dec92a6722d9cda989	0201020201020000020000010201020001020200000002010200000101010100	359050476	1294254	359050476	1294254	
Role Payout	e165610232235bbbbeff5b998b233daae42979dec92a6722d9cda989	5a2aae344e569a2c644dd9fa8c7b1f129850937eb562b7748c275f9e40bed596	330223844	1182626	330223844	1182626	
Role Payout	e165610232235bbbbeff5b998b233daae42979dec92a6722d9cda989	a92b4072cb8601fa697e1150c08463b14ffced54eb963df08d322216e27373cb	332039421	1189228	332039421	1189228	
Role Payout	e165610232235bbbbeff5b998b233daae42979dec92a6722d9cda989	0202010002010100020102020102020001010101020102010001010101000100	331084800	1186762	331084800	1186762	
Role Payout	e165610232235bbbbeff5b998b233daae42979dec92a6722d9cda989	0405010105020401010304080005050800040301010800080207080704020206	395158079	1440144	395158079	1440144	
Role Payout	e165610232235bbbbeff5b998b233daae42979dec92a6722d9cda989	0e97c9d9417354d9460f2eb35018d3904b7b035af16ab299258adab93be0911a	368261307	1335912	368261307	1335912	
Role Payout	e165610232235bbbbeff5b998b233daae42979dec92a6722d9cda989	674b0577409957172ad85223c765d17e94c27714276c49c38dfae0a47a561a1e	325279133	1168108	325279133	1168108	
Role Payout	e165610232235bbbbeff5b998b233daae42979dec92a6722d9cda989	a004a989c005d59043f996500e110fa756ad1b85800b889d5815a0106388e1d7	355441928	1283606	355441928	1283606	
Role Payout	e165610232235bbbbeff5b998b233daae42979dec92a6722d9cda989	195f522b596360690d04586a2563470f2214163435331a6622311f7323433f1c	325279133	1168108	325279133	1168108	
Role Payout	e165610232235bbbbeff5b998b233daae42979dec92a6722d9cda989	452e17d16222a427707fa83f63ffb79f606cc25c755a18b1e3274c964ed5ec99	413578009	1508268	413578009	1508268	
Role Payout	e165610232235bbbbeff5b998b233daae42979dec92a6722d9cda989	06317060a8e488b1219c9dae427f9ce27918a9e09ee8ac424afa33ca923f7954	352309070	1270238	352309070	1270238	
Role Payout	e165610232235bbbbeff5b998b233daae42979dec92a6722d9cda989	b43564af5f13cc5208b92b1ad6d45369446f378d3891e5cb3e353b30d4f3fb10	332039421	1189228	332039421	1189228	
Role Payout	e165610232235bbbbeff5b998b233daae42979dec92a6722d9cda989	0dbb692d2bf22d25eeceac461cfebf616f54003077a8473abc0457f18e025960	417624510	1542550	417624510	1542550	
Role Payout	e165610232235bbbbeff5b998b233daae42979dec92a6722d9cda989	47364cfaf2c00f7d633283dce6cf84e4fd4e8228c0a0aa50e7c55f35c3ecaa1c	330223844	1182626	330223844	1182626	
Role Payout	e165610232235bbbbeff5b998b233daae42979dec92a6722d9cda989	3569299fc986f5354d02e627a9eaa48ab46d5af52722307a0af72bae87e256dc	327094710	1174710	327094710	1174710	
Role Payout	e165610232235bbbbeff5b998b233daae42979dec92a6722d9cda989	c99ecc2146ce2066ba6dffc734923264f8794815acbc2ec74c2c2c42ba272e4d	427110633	1583292	427110633	1583292	
Role Payout	e165610232235bbbbeff5b998b233daae42979dec92a6722d9cda989	159e5a1bf16fe984b5569be7011b61b5e98f5d2839ca7e1b34c7f2afc7ffb58e	332039421	1189228	332039421	1189228	
Role Payout	e165610232235bbbbeff5b998b233daae42979dec92a6722d9cda989	0100000100010000000001000100010101000101000001000000010000010000	541957850	2048074	541957850	2048074	
Role Payout	e165610232235bbbbeff5b998b233daae42979dec92a6722d9cda989	0101000100000101010000010101000100010101000001000001000000010101	398482164	1461186	398482164	1461186	
Role Payout	e165610232235bbbbeff5b998b233daae42979dec92a6722d9cda989	73f044f34a30f26639c58bafe952047f74c7bf1eafebab5aadf5b73cfb9024ed	330223844	1182626	330223844	1182626	
Role Payout	e165610232235bbbbeff5b998b233daae42979dec92a6722d9cda989	332c2b1c11383d1b373e1315201f1128010e0e1518332f273f141b23243f2a07	320334422	1153590	320334422	1153590	
Role Payout	e165610232235bbbbeff5b998b233daae42979dec92a6722d9cda989	6621a69217f09d91f42876a9c0cecf79de0e29bdd5b16c82c6c52cf959092ec4	374819153	1367008	374819153	1367008	
Role Payout	e165610232235bbbbeff5b998b233daae42979dec92a6722d9cda989	7b1dd76edc27f00eb382bf996378155baf74d6a7c6f3d5ec837c39d29784aade	332039421	1189228	332039421	1189228	
Role Payout	e165610232235bbbbeff5b998b233daae42979dec92a6722d9cda989	ee3962fbd7373360f46decef3c9bda536a0b1daf6cda3b8a4bcfd6deeb5b4c53	392407016	1436226	392407016	1436226	
Role Payout	e165610232235bbbbeff5b998b233daae42979dec92a6722d9cda989	4fbcfdb577a56b842d6f6938187a783f71d9da7519353e3da3ef0c564e1eb344	420908740	1547958	420908740	1547958	
Role Payout	e165610232235bbbbeff5b998b233daae42979dec92a6722d9cda989	da353bf9219801fa1bf703fc161497570954e9af7e10ffe95c911a9ef97e77bd	347589803	1255720	347589803	1255720	
Role Payout	e165610232235bbbbeff5b998b233daae42979dec92a6722d9cda989	5efe992e306e31cc857c64a62436ad2f9325acc5b4a74a8cebccdfd853ce63d2	349161054	1265218	349161054	1265218	
Role Payout	e165610232235bbbbeff5b998b233daae42979dec92a6722d9cda989	cc1e82927f6c65b3e912200ae30588793d2066e1d4a6627c21955944ac9bd528	376174304	1361874	376174304	1361874	
Role Payout	e165610232235bbbbeff5b998b233daae42979dec92a6722d9cda989	36866914aa07cf62ef36cf2cd64c7f240e3371e27bb9fff5464301678e809c40	327094710	1174710	327094710	1174710	
Role Payout	e165610232235bbbbeff5b998b233daae42979dec92a6722d9cda989	a6f064b83b31032ea7f25921364727224707268e472a569f584cc6b1d8c017e8	332039421	1189228	332039421	1189228	
Role Payout	e165610232235bbbbeff5b998b233daae42979dec92a6722d9cda989	6c364699767a84059ffd99cf718562a8c09d96e343f23dc481e8ffda13af424f	330223844	1182626	330223844	1182626	
Role Payout	e165610232235bbbbeff5b998b233daae42979dec92a6722d9cda989	622a7f3bc611b5149253c9189da022a9ff296f60a5b7c172a6dc286faa7284fa	415915637	1532356	415915637	1532356	
Role Payout	e165610232235bbbbeff5b998b233daae42979dec92a6722d9cda989	01dcc372ea619cb9f23c45b17b9a0a8a16b7ca0e04093ef8ecce291667a99a4c	319018409	1143996	319018409	1143996	
Role Payout	e165610232235bbbbeff5b998b233daae42979dec92a6722d9cda989	07658a6c898ad6d624c37df1e49e909c2e9349ba7f4c0a6be5f166fe239bfcae	310846619	1099224	310846619	1099224	
Role Payout	e165610232235bbbbeff5b998b233daae42979dec92a6722d9cda989	803eae94d62e2afc0e835c204af8362170301bc329e2d849d5f5a47dddf479ec	390147815	1438952	390147815	1438952	
Role Payout	e165610232235bbbbeff5b998b233daae42979dec92a6722d9cda989	af2e072b5adfaa7211e0b341e1f7319c4f4e7364a4247c9247132a927e914753	404483193	1482596	404483193	1482596	
Role Payout	e165610232235bbbbeff5b998b233daae42979dec92a6722d9cda989	6b7bc2b9002a71b33cfd535d43f26334a283d0b9ad189b7cd74baac232c3b9fc	310846619	1099224	310846619	1099224	
Role Payout	e165610232235bbbbeff5b998b233daae42979dec92a6722d9cda989	0bdca1cb8fa7e38e09062557b82490714052e84e2054e913092cd84ac071b961	400105581	1476408	400105581	1476408	
Role Payout	e165610232235bbbbeff5b998b233daae42979dec92a6722d9cda989	1a20b465d48a585ffd622bd8dc26a498a3c12f930ab4feab3a5064cfb3bc536a	363680539	1312224	363680539	1312224	
